,title,year,imdb_score
733,Scooby-Doo! Mystery Incorporated,2010–2013,8.1
734,Scooby-Doo! Curse of the Lake Monster,2010,4.8
735,Scooby-Doo and the Cyber Chase,2001,7.0
736,"What's New, Scooby-Doo?",2002–2006,7.2
737,Island of Lost Dreams,2002,5.2
738,Scooby-Doo and the Witch's Ghost,1999,7.2
739,Spy Kids,2001,5.6
740,Scooby-Doo and the Alien Invaders,2000,6.8
741,The Pacifier,2005,5.6
742,The Game Plan,2007,6.1
743,Cheaper by the Dozen,2003,5.9
744,Cheaper by the Dozen 2,2005,5.5
745,Daddy Day Care,2003,5.6
746,Tooth Fairy,2010,5.0
747,Spy Kids,2001,5.6
748,Bedtime Stories,2008,6.0
749,Are We There Yet?,2005,4.7
750,Mall Cop,2009,5.2
751,Stuart Little,1999,6.0
752,Catch That Kid,2004,5.2
753,Island of Lost Dreams,2002,5.2
754,Bee Movie,2007,6.1
755,Monsters vs. Aliens,2009,6.4
756,Flushed Away,2006,6.6
757,Over the Hedge,2006,6.7
758,Bolt,2008,6.8
759,Shark Tale,2004,6.0
760,Cloudy with a Chance of Meatballs,2009,6.9
761,Robots,2005,6.4
762,Horton Hears a Who!,2008,6.8
763,Open Season,2006,6.1
764,Megamind,2010,7.3
765,Escape 2 Africa,2008,6.6
766,Rio,2011,6.9
767,Kung Fu Panda,2008,7.6
768,Kung Fu Panda 2,2011,7.2
769,Kung Fu Panda 3,2016,7.1
770,Madagascar,2005,6.9
771,Ice Age,2002,7.5
772,Shrek,2001,7.9
773,Cars,2006,7.2
774,How to Train Your Dragon 2,2014,7.8
775,Shrek 2,2004,7.3
776,Despicable Me,2010,7.6
777,Wreck-It Ralph,2012,7.7
778,Escape 2 Africa,2008,6.6
779,How to Train Your Dragon,2010,8.1
780,Hotel Transylvania 2,2015,6.6
781,Summer Vacation,2018,6.3
782,Hotel Transylvania,2012,7.0
783,Transformania,2022,6.0
784,The Boss Baby,2017,6.3
785,Despicable Me 2,2013,7.3
786,Angry Birds,2016,6.2
787,Despicable Me 3,2017,6.2
788,Rio,2011,6.9
789,Cloudy with a Chance of Meatballs,2009,6.9
790,Cloudy with a Chance of Meatballs 2,2013,6.3
791,The Croods,2013,7.2
792,The Secret Life of Pets,2016,6.5
793,Kung Fu Panda 3,2016,7.1
794,Kung Fu Panda 2,2011,7.2
795,Kung Fu Panda,2008,7.6
796,How to Train Your Dragon 2,2014,7.8
797,Escape 2 Africa,2008,6.6
798,Madagascar,2005,6.9
799,Europe's Most Wanted,2012,6.8
800,The Hidden World,2019,7.4
801,Dawn of the Dinosaurs,2009,6.9
802,Ice Age,2002,7.5
803,Megamind,2010,7.3
805,The Meltdown,2006,6.8
806,Scared Silly!,2015,5.0
807,Open Season 3,2010,5.0
808,Open Season 2,2008,5.5
809,Open Season,2006,6.1
810,WaveMania,2016,4.5
811,Nutty by Nature,2017,5.5
812,The Nut Job,2014,5.7
813,Free Birds,2013,5.8
815,The Smurfs 2,2013,5.3
816,Over the Hedge,2006,6.7
817,The Smurfs,2011,5.4
818,Cloudy with a Chance of Meatballs 2,2013,6.3
819,Alice Through the Looking Glass,2016,6.1
820,Alice in Wonderland,2010,6.4
821,Charlie and the Chocolate Factory,2005,6.7
